Element;Z;a1;b1;a2;b2;a3;b3;a4;b4;c
Ca;20;4.470;99.523;2.971;22.696;1.970;4.195;0.482;0.417;0
F;9;0.387;20.239;0.811;6.609;0.475;1.931;0.146;0.279;0
W;74;5.709;28.782;4.677;5.084;2.019;0.572;0;0;0
Ti;22;3.565;81.982;2.818;19.049;1.893;3.590;0.483;0.386;0
Al;13;2.276;72.322;2.428;19.773;0.858;3.080;0.317;0.408;0
C;6;0.731;36.995;1.195;11.297;0.456;2.814;0.125;0.346;0
Cl;17;1.452;30.935;2.292;9.980;0.787;2.234;0.322;0.323;0
Na;11;2.241;108.004;1.333;24.505;0.907;3.391;0.286;0.435;0
Nb;41;4.237;27.415;3.105;5.074;1.234;0.593;0;0;0
Sn;50;3.450;59.104;3.735;14.179;2.118;2.855;0.877;0.327;00
Mo;42;3.120;72.464;3.906;14.642;2.361;3.237;0.850;0.366;0
N;7;0.572;28.872;1.043;9.054;0.465;2.421;0.131;0.317;0
Ta;73;5.659;28.807;4.630;5.114;2.014;0.585;0;0;0
